room_type,price_rank,neighbourhood_cleansed,num_listings,avg_price,median_price
Private room,3,Hollywood Hills West,46,272.86,163.0
Private room,4,Venice,109,257.43,211.5
Private room,5,El Segundo,65,252.86,268.0
Private room,6,Downtown,157,246.53,161.34
Private room,7,Redondo Beach,102,235.23,145.55
Private room,8,Burbank,109,233.33,135.0
Private room,9,Manhattan Beach,32,221.7,109.53
Private room,10,West Hollywood,128,217.74,183.31
Private room,11,Torrance,114,216.94,148.35
Private room,12,Studio City,38,203.12,171.5
Private room,13,Hollywood Hills,79,195.48,132.0
Private room,14,Westchester,36,184.52,98.28
Private room,15,Glendale,90,176.76,159.49
Private room,16,Long Beach,286,173.96,134.0
Private room,17,Hawthorne,67,172.86,116.0
Private room,18,Beverly Grove,75,169.35,97.71
Private room,19,Del Rey,36,165.77,106.2
Private room,20,Culver City,114,158.1,128.5
Private room,21,El Monte,108,157.75,110.5
Private room,22,Pasadena,124,156.41,123.0
Private room,23,View Park-Windsor Hills,34,151.14,121.0
Private room,24,Whittier,30,151.06,120.0
Private room,25,Silver Lake,30,145.29,120.33
Private room,26,Inglewood,100,143.91,101.56
Private room,27,Tarzana,32,141.75,71.52
Private room,28,Hollywood,257,137.39,89.6
Private room,29,Lawndale,30,133.04,97.5
Private room,30,Hyde Park,47,131.74,70.01
Private room,31,Gardena,55,130.73,117.64
Private room,32,West Hills,32,126.12,67.42
Private room,33,Alhambra,166,123.45,96.5
Private room,34,Valley Glen,31,121.85,83.29
Private room,35,Carson,43,121.33,119.5
Private room,36,Santa Clarita,95,117.33,102.0
Private room,37,Mar Vista,31,115.58,84.6
Private room,38,Sherman Oaks,54,111.43,84.71
Private room,39,Winnetka,41,108.94,90.0
Private room,40,Rosemead,43,108.88,86.0
Private room,41,Monterey Park,116,108.05,94.5
Private room,42,Westlake,63,107.79,95.07
Private room,43,East Hollywood,84,106.44,69.7
Private room,44,Pico-Robertson,41,106.13,80.08
Private room,45,West Covina,77,105.11,100.31
Private room,46,Woodland Hills,80,104.92,78.73
Private room,47,San Gabriel,87,104.52,97.0
Private room,48,Mid-Wilshire,84,103.86,84.68
Private room,49,Arcadia,67,103.79,80.0
Private room,50,Koreatown,154,103.57,72.97
Private room,51,Pomona,55,98.02,76.5
Private room,52,East San Gabriel,49,96.91,90.44
Private room,53,Palms,34,96.2,75.22
